app_language,geo,event_type,count
en_GB,EU;MK,start,2
en_GB,EU;DE,action,321
en_GB,AF;EG,start,52
en_EN,AS;MY,background,2
cs_CZ,EU;DK,start,2
zh_CN,EU;IE,timing,5
zh_CN,AS;HK,foreground,24
tr_TR,EU;DE,background,87
sv_SE,EU;SE,timing,2662
sv_SE,AF;DZ,foreground,4
sl_SI,EU;SI,perf,27
ru_RU,EU;FR,start,4
ru_RU,AS;TR,foreground,7
pt_PT,EU;FR,session_end,2
iw_IL,;;;;;,action,10
it_CH,EU;CH,start,3
hu_HU,EU;HU,timing,682
fr_FR,AF;MA,perf,155
fr_CH,EU;XK,perf,3
et_EE,EU;FI,page_view,2
es_US,SA;UY,start,11
es_US,NA;PR,foreground,83
es_US,NA;GT,session_end,15
es_US,EU;ES,page_view,6
es_MX,SA;CO,session_end,15
es_ES,SA;CO,in_app_currency_action,75
es_ES,NA;SV,timing,162
es_ES,NA;HN,session_end,3
es_CL,SA;CL,in_app_currency_action,40
en_US,SA;BR,action,1753
en_US,NA;TT,session_end,34
en_US,NA;AW,start,3
en_US,EU;IT,timing,781
en_US,EU;HU,action,27
en_US,EU;CH,page_view,50
en_US,AS;LK,perf,19
en_US,AS;KW,start,19
en_GB,NA;US,background,32
en_GB,EU;PT,page_view,30
en_GB,EU;NL,action,578
en_GB,EU;GB,background,1987
en_GB,AS;TW,timing,49
en_GB,AS;PH,background,56
en_GB,AS;JO,page_view,44
en_GB,AS;BD,in_app_currency_action,27
en_AU,AS;AE,foreground,3
ar_AE,EU;DE,start,26
ar_AE,AS;JO,foreground,13
zh_HK,AS;MY,perf,3
vi_US,AS;VN,page_view,29
tr_DE,EU;DE,start,1
th_TH,AS;TH,in_app_currency_action,556
ru_RU,EU;MD,action,53
ro_RO,EU;DK,background,1
pl_PL,EU;SE,action,3
pl_PL,EU;DE,background,29
nb_NO,EU;NO,foreground,261
it_IT,AS;SA,page_view,4
fr_MA,AF;MA,perf,3
fr_FR,AF;TN,start,11
fr_CA,EU;FR,action,237
fa_IR,AS;AE,perf,17
fa_IR,;;;;;,page_view,8
es_US,NA;PA,in_app_currency_action,59
es_US,NA;DO,start,86
es_MX,NA;US,perf,20
es_ES,SA;UY,background,11
es_ES,NA;US,foreground,60
es_ES,EU;GB,foreground,17
es_EC,SA;EC,perf,5
es_EC,SA;AR,foreground,15
es_AR,SA;AR,timing,506
en_US,OC;AU,foreground,8
en_US,NA;JM,perf,37
en_US,AS;VN,background,33
en_US,AS;OM,timing,62
en_US,AS;KR,timing,4
en_US,AF;GH,foreground,1
en_GB,EU;CH,action,269
en_GB,AS;CN,foreground,1
en_EN,AS;MY,session_end,2
en_CA,NA;CA,page_view,1004
da_DK,;;;;;,start,4
ar_AE,AS;QA,timing,462
zh_CN,EU;AT,session_end,1
zh_CN,AS;MY,background,50
zh_CN,AS;CN,start,171
uk_UA,EU;UA,in_app_currency_action,51
sr_RS,EU;RS,action,1066
sl_SI,EU;SI,page_view,21
ru_RU,EU;LT,action,481
ru_RU,AS;KZ,start,77
pl_PL,EU;PL,start,339
pl_PL,EU;AT,perf,11
nl_NL,EU;BE,perf,15
nl_NL,EU;;;,foreground,1
ms_MY,AS;MY,timing,15
lt_LT,EU;LT,foreground,97
ko_KR,AS;KR,action,471
it_IT,EU;CH,action,67
hy_AM,AS;AM,background,23
fr_CH,EU;XK,page_view,7
fr_CH,EU;CH,background,17
fr_CA,NA;CA,in_app_currency_action,94
fa_IR,EU;RU,foreground,1
es_US,SA;CO,foreground,200
es_US,SA;BR,in_app_currency_action,6
es_US,NA;HN,perf,27
es_MX,SA;CL,session_end,23
es_ES,SA;CL,in_app_currency_action,116
es_ES,NA;PA,session_end,19
es_ES,EU;FR,foreground,22
es_ES,EU;ES,start,526
es_ES,AS;KR,perf,3
es_DO,SA;CO,session_end,1
en_US,NA;MX,perf,69
en_US,NA;BS,foreground,6
en_US,EU;HR,action,231
en_US,EU;BE,session_end,3
en_US,AS;SA,session_end,82
en_US,AS;LK,page_view,26
en_US,AF;EG,timing,987
en_GB,EU;RO,background,26
en_GB,EU;GR,timing,9
en_GB,EU;DK,in_app_currency_action,9
en_GB,AS;IL,session_end,27
en_GB,AS;ID,timing,826
de_DE,EU;RO,perf,19
de_DE,EU;IT,timing,197
bg_BG,EU;GB,session_end,1
bg_BG,EU;DE,perf,6
ar_EG,EU;GB,action,25
ar_EG,AF;EG,foreground,68
ar_EG,;;;;;,background,1
ar_AE,AS;KW,action,1470
uk_UA,EU;UA,foreground,43
th_TH,AS;MY,background,38
sr_RS,EU;SI,in_app_currency_action,8
ru_RU,EU;LV,timing,22
pt_PT,EU;FR,page_view,9
pt_BR,SA;PE,background,1
hy_AM,AS;AM,session_end,18
fr_CH,EU;CH,session_end,10
fr_CA,NA;CA,foreground,99
es_US,SA;BR,foreground,3
es_US,NA;GT,page_view,49
es_MX,SA;CO,page_view,25
es_ES,SA;CL,foreground,184
es_ES,SA;BO,in_app_currency_action,38
es_ES,NA;PA,perf,29
es_ES,NA;HN,page_view,8
es_AR,SA;PE,in_app_currency_action,4
es_AR,SA;CL,background,2
en_US,SA;AR,action,389
en_US,OC;MP,background,3
en_US,NA;TT,page_view,62
en_US,EU;CZ,action,45
en_US,EU;BE,perf,12
en_US,AS;SA,perf,132
en_US,AS;IQ,background,17
en_PK,AS;PK,start,3
en_GB,EU;RO,session_end,20
en_GB,EU;BG,background,2
en_GB,AS;LB,timing,35
en_GB,AS;IL,perf,32
en_CA,AS;VN,start,1
el_GR,EU;DE,in_app_currency_action,8
de_DE,EU;AT,in_app_currency_action,53
de_AT,EU;AT,background,210
ar_IL,AS;SA,perf,2
ar_EG,;;;;;,session_end,1
ar_AE,OC;AU,page_view,3
ar_AE,EU;IT,background,17
ar_AE,AS;PH,in_app_currency_action,3
zh_HK,AS;TW,background,1
zh_CN,NA;US,session_end,3
th_TH,NA;US,background,16
ru_RU,EU;EE,foreground,9
ro_RO,EU;FR,start,6
pl_PL,EU;PL,action,14099
lt_LT,EU;LT,timing,948
iw_IL,EU;FR,in_app_currency_action,30
fr_FR,AF;CI,foreground,8
es_UY,SA;UY,page_view,69
es_US,NA;US,page_view,1506
es_US,NA;SV,background,20
es_MX,SA;PY,in_app_currency_action,1
es_ES,EU;FR,timing,2
es_ES,EU;ES,action,27432
en_US,EU;FI,action,382
en_US,AS;TR,session_end,1
en_US,AS;QA,start,27
en_US,AS;MY,perf,357
en_US,AS;IL,in_app_currency_action,25
en_NZ,OC;NZ,background,161
en_GB,EU;FR,page_view,37
en_GB,AS;NP,timing,19
en_GB,AS;HK,foreground,11
en_GB,AF;MU,perf,20
en_CA,EU;DE,start,6
en_AU,AS;QA,in_app_currency_action,29
de_DE,AS;LB,background,1
de_CH,EU;IT,perf,12
ar_IL,AS;IL,in_app_currency_action,17
ar_EG,AS;SA,session_end,27
zh_CN,NA;US,perf,20
tr_TR,EU;FR,page_view,44
th_TH,NA;US,session_end,13
sv_SE,AS;TH,action,677
ru_RU,EU;RU,in_app_currency_action,980
ru_RU,EU;FR,timing,6
ro_RO,EU;DE,action,853
it_CH,EU;CH,timing,5
es_US,SA;UY,timing,275
es_US,SA;CL,payment_action,1
es_US,NA;SV,session_end,11
es_MX,SA;PY,foreground,17
es_ES,EU;RO,page_view,2
es_CO,SA;AR,page_view,28
en_US,SA;PE,start,1
en_US,NA;AW,timing,43
en_US,EU;SE,page_view,25
en_US,EU;RO,in_app_currency_action,32
en_US,AS;TR,perf,55
en_US,AS;KW,timing,73
en_GB,EU;MK,page_view,29
en_GB,AS;ID,background,95
en_AU,AF;EG,background,46
el_GR,EU;DE,action,239
de_DE,EU;IT,background,10
de_DE,EU;AT,action,1495
de_DE,AS;LB,session_end,1
da_DK,EU;DK,perf,123
bg_BG,EU;DE,start,3
ar_IL,AS;IL,foreground,17
ar_AE,EU;DE,timing,463
zh_CN,EU;AT,start,2
vi_VN,AS;VN,perf,982
sr_RS,EU;SI,timing,84
ru_RU,EU;RU,foreground,1167
ro_RO,EU;GB,action,474
pt_BR,SA;BR,start,1224
nl_BE,EU;NL,background,13
hu_HU,EU;ES,perf,7
hr_HR,EU;FR,action,273
fr_FR,AF;RE,action,243
es_PE,SA;PE,action,440
es_MX,SA;CL,start,2
es_ES,SA;BO,timing,220
es_ES,NA;PA,start,16
es_CO,SA;CO,session_end,53
es_AR,SA;PE,timing,22
en_US,NA;BB,page_view,8
en_US,EU;RO,foreground,56
en_US,EU;NL,page_view,62
en_US,AS;SA,start,46
en_US,AS;LB,page_view,13
en_US,AF;EG,session_end,148
en_GB,EU;SK,start,2
en_GB,EU;GR,session_end,1
en_GB,AS;IL,start,2
en_GB,AS;AE,timing,1810
en_CA,NA;MX,page_view,7
en_CA,AS;KR,in_app_currency_action,1
en_AU,AS;SA,in_app_currency_action,1
el_GR,EU;DE,timing,99
de_AT,EU;DE,page_view,62
bs_BA,EU;BA,foreground,27
ar_AE,EU;SE,in_app_currency_action,20
ar_AE,EU;GB,timing,606
ar_AE,AS;PH,timing,95
ar_AE,AS;AE,session_end,28
zh_CN,AS;SG,timing,103
ru_RU,EU;RU,session_end,858
pt_PT,SA;BR,foreground,77
pl_PL,EU;NO,foreground,9
nl_NL,EU;;;,start,1
ms_MY,AS;MY,action,54
lt_LT,EU;LT,start,37
iw_IL,EU;FR,perf,16
it_IT,EU;IT,in_app_currency_action,1133
in_ID,AS;ID,foreground,458
fr_FR,EU;PL,background,9
fa_IR,EU;RU,start,2
es_US,SA;CO,start,89
es_MX,SA;PY,perf,26
es_ES,EU;FR,start,3
en_US,NA;CR,foreground,1
en_US,NA;BS,start,7
en_US,NA;BB,timing,8
en_US,EU;RO,session_end,46
en_US,EU;BG,background,11
en_US,AS;LB,timing,13
en_US,AS;IL,perf,30
en_GB,EU;IE,in_app_currency_action,47
en_GB,EU;GR,action,25
en_GB,EU;BE,page_view,2
en_GB,AS;SA,page_view,499
en_GB,AS;NP,in_app_currency_action,4
en_GB,AS;KH,perf,5
en_GB,AS;IN,background,357
en_GB,AS;ID,action,1996
en_CA,NA;MX,timing,168
en_AU,AS;QA,perf,33
en_AU,AS;IN,page_view,16
en_AU,AF;EG,action,477
de_DE,EU;IT,action,425
de_AT,EU;DE,timing,250
bs_BA,EU;BA,session_end,24
ar_IL,AS;IL,perf,32
ar_EG,AF;EG,start,20
ar_AE,EU;BE,foreground,1
ar_AE,AS;SA,foreground,509
zh_CN,EU;DE,start,5
zh_CN,AS;HK,background,24
sv_SE,AS;TH,page_view,18
sr_RS,EU;SE,perf,5
sl_SI,EU;SI,action,374
ru_RU,EU;AT,perf,6
ro_RO,EU;DE,page_view,39
pt_PT,AF;AO,perf,30
pl_PL,EU;NO,session_end,4
it_IT,OC;AU,page_view,10
it_IT,EU;IT,background,1561
it_IT,EU;GB,in_app_currency_action,9
in_ID,AS;ID,session_end,346
fr_CH,EU;XK,action,27
es_US,NA;US,in_app_currency_action,806
es_ES,NA;GT,perf,8
es_CR,NA;CR,background,4
en_US,NA;DO,perf,7
en_US,EU;RO,action,821
en_US,AS;LK,action,325
en_US,AS;AE,background,97
en_US,AF;ZA,background,14
en_PK,AS;PK,page_view,13
en_GB,EU;RU,perf,1
en_GB,EU;MT,timing,1
en_GB,EU;FR,in_app_currency_action,14
en_GB,AS;SA,timing,1421
en_GB,AS;PK,perf,38
en_AU,AS;IN,timing,204
bg_BG,EU;NL,foreground,8
ar_AE,AS;SA,session_end,353
zh_TW,AS;HK,start,59
zh_CN,EU;AT,in_app_currency_action,7
tr_TR,AS;TR,background,2112
th_TH,NA;US,page_view,18
sr_RS,EU;RS,background,62
pt_BR,SA;CO,foreground,14
pt_BR,SA;BR,in_app_currency_action,2228
pl_PL,EU;NO,action,97
pl_PL,EU;AT,foreground,2
nl_NL,EU;BE,foreground,20
mk_MK,EU;MK,perf,11
it_IT,OC;AU,timing,18
it_IT,EU;GB,background,1
es_US,NA;SV,page_view,21
es_US,NA;HN,foreground,37
es_PY,SA;PY,start,2
es_ES,SA;VE,start,5
es_ES,SA;PY,action,400
es_ES,NA;PR,perf,3
es_ES,AS;KR,foreground,2
es_BO,SA;BO,action,66
en_US,NA;MX,foreground,23
en_US,EU;HR,background,14
en_US,AF;TZ,in_app_currency_action,16
en_PK,AS;PK,timing,14
en_NZ,OC;NZ,page_view,205
en_GB,AS;QA,in_app_currency_action,12
en_GB,AS;BH,perf,46
de_DE,EU;RO,foreground,14
bg_BG,EU;NL,session_end,6
ar_EG,EU;NL,action,44
ar_AE,AS;TR,start,17
tr_TR,EU;FR,in_app_currency_action,14
ru_RU,EU;FR,background,19
ro_RO,EU;RO,perf,522
ro_RO,EU;GB,page_view,28
pt_PT,SA;BR,perf,105
pt_BR,;;;;;,foreground,7
nl_NL,EU;NL,in_app_currency_action,411
it_CH,EU;CH,background,12
in_ID,AS;ID,perf,487
hr_HR,EU;FR,page_view,8
hr_HR,EU;BA,start,10
fr_FR,EU;PL,action,153
fr_FR,EU;CH,page_view,15
fr_FR,AS;KW,start,1
fr_FR,AF;MA,timing,1186
es_UY,SA;UY,foreground,54
es_US,SA;UY,background,23
es_US,NA;US,foreground,1041
es_ES,NA;MX,start,57
es_CO,SA;AR,in_app_currency_action,4
en_US,NA;AW,background,6
en_US,AS;KW,background,23
en_US,AS;ID,in_app_currency_action,438
en_US,AS;BD,page_view,59
en_US,AS;AM,start,10
en_NZ,EU;GB,perf,4
en_MY,AS;MY,page_view,2
en_IN,AS;QA,timing,3
en_GB,EU;IE,session_end,52
en_GB,EU;FR,foreground,20
en_GB,AS;OM,perf,12
en_GB,AS;NP,session_end,1
en_GB,AS;IN,action,5783
en_AU,EU;GR,in_app_currency_action,4
en_AU,AS;TR,start,2
de_DE,EU;CH,timing,4
da_DK,EU;DK,start,60
ar_AE,EU;DE,background,47
ar_AE,AS;SA,perf,469
zh_CN,NA;US,in_app_currency_action,16
zh_CN,EU;AT,action,73
vi_VN,AS;SG,session_end,1
tr_TR,EU;CH,perf,30
ru_RU,EU;RU,timing,8421
ru_RU,AS;TW,start,4
pt_PT,EU;PT,foreground,95
pt_PT,EU;DE,start,1
pt_BR,SA;BR,action,53806
pl_PL,EU;NO,page_view,14
pl_PL,EU;NL,perf,4
pl_PL,EU;IT,session_end,4
pl_PL,EU;GB,foreground,34
it_IT,EU;BE,start,12
is_IS,EU;IS,start,6
in_ID,AS;ID,page_view,792
fr_CA,NA;CA,background,94
fa_IR,AS;IR,perf,33
es_MX,SA;CL,action,18
es_MX,NA;MX,session_end,250
es_ES,NA;PA,action,953
es_ES,AS;GE,background,1
es_AR,NA;SV,start,2
en_US,NA;CR,page_view,1
en_US,AS;TR,in_app_currency_action,37
en_US,AS;TH,session_end,43
en_US,AS;SA,action,2389
en_PH,AS;MY,start,9
en_GB,EU;SK,action,9
en_GB,EU;LT,timing,5
en_GB,EU;DK,background,25
en_GB,AS;IL,action,348
en_CA,AF;RW,start,1
en_AU,AS;MY,foreground,2
de_DE,EU;GR,start,5
de_CH,EU;AT,perf,5
da_DK,EU;DK,in_app_currency_action,135
bs_BA,EU;BA,timing,40
ar_AE,EU;BE,page_view,2
ar_AE,AS;SA,page_view,721
vi_US,AS;VN,start,2
tr_TR,NA;US,perf,7
tr_TR,EU;GB,perf,23
ru_RU,AS;TM,session_end,7
ru_RU,AS;KZ,background,150
ru_RU,;;;;;,session_end,8
ro_RO,EU;RO,page_view,701
pt_PT,SA;BR,page_view,130
pl_PL,EU;PL,background,662
pl_PL,EU;AT,timing,9
it_IT,AS;SA,start,3
fr_FR,EU;BE,session_end,72
es_ES,NA;NI,perf,4
es_ES,NA;DO,action,2
es_ES,EU;ES,background,1199
en_US,SA;PE,timing,2
en_US,EU;FI,background,7
en_US,AS;MY,foreground,402
en_US,AF;TZ,action,45
en_NZ,EU;GB,page_view,7
en_GB,EU;AT,start,5
en_GB,EU;AL,session_end,45
en_GB,AS;QA,action,339
en_GB,AS;OM,page_view,13
en_GB,AF;MU,foreground,14
en_CA,NA;CA,start,332
en_CA,AF;RW,in_app_currency_action,16
de_DE,AS;TR,start,3
de_CH,EU;IT,foreground,6
bg_BG,EU;DE,timing,10
ar_EG,AS;SA,in_app_currency_action,25
ar_AE,AS;OM,foreground,56
zh_TW,AS;HK,perf,158
zh_CN,EU;AT,page_view,15
th_TH,EU;DE,action,202
sv_SE,EU;NO,session_end,1
sr_RS,EU;SE,start,2
ru_RU,EU;AT,start,6
pt_BR,EU;PT,foreground,1
nl_NL,EU;NL,action,11046
nl_BE,EU;BE,background,83
iw_IL,AS;IL,in_app_currency_action,357
it_IT,EU;GB,timing,98
hr_HR,EU;BA,action,84
es_US,SA;BO,foreground,19
es_US,SA;AR,in_app_currency_action,195
es_US,EU;SE,start,1
es_PY,SA;PY,perf,6
es_MX,SA;CL,page_view,3
es_ES,SA;VE,perf,2
es_ES,SA;PE,action,301
es_ES,NA;PA,page_view,31
es_ES,NA;GT,start,2
en_US,NA;DO,start,1
en_US,EU;IE,in_app_currency_action,9
en_US,EU;GR,action,162
en_US,EU;BE,page_view,14
en_US,AS;SA,page_view,196
en_US,AS;NP,in_app_currency_action,1
en_US,AS;KH,perf,4
en_US,AS;IN,background,373
en_US,AS;ID,action,10303
en_GB,EU;MT,background,4
en_GB,EU;FR,timing,44
en_GB,EU;ES,action,485
en_GB,AS;PK,start,35
en_GB,AS;IL,page_view,43
en_GB,AF;TZ,background,2
en_AU,AS;OM,foreground,1
el_GR,EU;GR,session_end,114
de_DE,EU;DE,background,2438
de_CH,EU;CH,perf,172
bg_BG,EU;GB,page_view,1
bg_BG,EU;BG,session_end,180
ar_EG,EU;DK,perf,19
ar_EG,AS;KW,background,15
ar_AE,AS;TR,perf,54
ar_AE,AS;IL,foreground,3
ar_AE,AF;EG,background,48
zh_CN,AS;HK,in_app_currency_action,19
tr_TR,EU;UA,timing,3
sl_SI,EU;SI,session_end,12
pt_PT,EU;FR,background,3
pl_PL,EU;FR,page_view,2
it_IT,EU;AL,timing,5
fr_FR,AF;SN,action,1
fr_CH,EU;XK,session_end,3
fr_CA,SA;CO,foreground,12
es_US,SA;VE,timing,157
es_US,NA;GT,background,22
es_MX,SA;CO,background,16
es_ES,SA;PY,foreground,20
es_ES,NA;HN,background,4
es_CR,NA;CR,in_app_currency_action,5
es_BO,SA;BO,foreground,2
es_AR,NA;CR,timing,4
en_ZA,EU;ES,foreground,5
en_US,SA;CO,action,130
en_US,NA;TT,background,40
en_US,EU;NL,timing,82
en_US,EU;DE,page_view,102
en_US,AS;LK,session_end,5
en_US,AS;AE,in_app_currency_action,53
en_US,AF;ZA,in_app_currency_action,11
en_GB,AS;NP,start,7
ar_EG,EU;NL,foreground,40
ar_EG,AS;KW,perf,9
ar_AE,OC;AU,background,1
ar_AE,AF;EG,perf,77
ru_RU,EU;EE,timing,132
ro_RO,EU;FR,action,263
pt_PT,EU;BE,start,4
pt_PT,AF;MZ,perf,6
pl_PL,EU;SE,session_end,14
lt_LT,EU;GB,start,2
ko_KR,AS;CN,background,12
hu_HU,EU;RU,background,1
fr_FR,EU;DK,in_app_currency_action,13
fr_FR,AS;IL,session_end,1
fr_FR,AF;CI,timing,125
fa_IR,AS;IR,background,104
es_US,SA;PY,session_end,28
es_ES,SA;UY,in_app_currency_action,2
es_AR,SA;AR,page_view,50
en_ZA,AS;AE,perf,14
en_ZA,AF;ZA,perf,49
en_US,EU;AT,start,12
en_US,AS;QA,action,1113
en_US,AS;OM,page_view,46
en_US,AS;KR,page_view,2
en_PH,AS;PH,perf,367
en_GB,EU;NO,timing,10
en_GB,EU;DE,perf,40
en_GB,EU;CH,session_end,11
en_GB,AS;SG,background,346
en_GB,AS;HK,timing,107
en_GB,;;;;;,in_app_currency_action,3
en_EN,AS;MY,foreground,2
en_CA,EU;DE,action,295
ar_AE,AS;QA,page_view,91
zh_CN,EU;AT,background,2
vi_VN,AS;VN,timing,5522
tr_TR,EU;CH,foreground,22
ru_RU,EU;DE,perf,6
ru_RU,AS;TM,start,6
ru_RU,AS;KG,action,329
ro_RO,EU;FR,perf,30
pl_PL,EU;IT,in_app_currency_action,3
nl_NL,EU;BE,session_end,14
ko_KR,AS;CN,foreground,12
it_IT,EU;DE,action,1221
hu_HU,EU;RU,foreground,1
fr_FR,EU;BE,start,54
fa_IR,AS;IR,foreground,106
es_US,SA;CO,in_app_currency_action,110
es_US,NA;SV,timing,30
es_US,NA;HN,session_end,25
es_MX,SA;PY,page_view,17
es_MX,SA;CL,background,24
es_MX,NA;MX,in_app_currency_action,205
es_ES,NA;PA,background,27
es_ES,AS;KR,session_end,1
es_DO,SA;CO,background,1
en_US,SA;CL,action,70
en_US,NA;MX,session_end,15
en_US,EU;RU,start,13
en_US,EU;BE,background,5
en_US,AS;TH,in_app_currency_action,148
en_US,AS;SA,background,104
en_GB,AS;SG,foreground,350
en_GB,AS;IL,background,28
en_CA,NA;PR,action,27
en_CA,NA;JM,start,2
en_CA,EU;DE,perf,12
en_AU,AS;PK,start,1
de_DE,EU;RO,session_end,13
bg_BG,EU;GB,background,1
ar_IL,AS;IL,page_view,46
zh_CN,EU;AT,foreground,2
zh_CN,AS;HK,action,367
sv_SE,AF;DZ,action,3
sr_RS,EU;RS,session_end,42
ru_RU,AS;TR,action,29
ru_RU,AS;KG,perf,19
ru_RU,AS;IL,background,25
ro_RO,EU;GB,timing,203
pt_BR,SA;BR,foreground,2779
mk_MK,EU;DE,start,7
lo_LA,AS;LA,background,7
it_IT,EU;DE,perf,68
hr_HR,EU;FR,timing,108
fr_FR,NA;CA,start,1
fr_FR,AF;RE,timing,102
es_US,SA;EC,start,47
es_US,NA;PR,action,1339
es_US,NA;NI,in_app_currency_action,24
es_PE,SA;PE,timing,155
es_MX,SA;CL,foreground,24
es_ES,NA;PA,foreground,27
es_ES,NA;CR,in_app_currency_action,45
es_DO,SA;CO,foreground,1
en_US,NA;CA,background,54
en_US,EU;HR,session_end,9
en_US,EU;CZ,background,5
en_US,EU;BE,foreground,5
en_US,AS;SA,foreground,106
en_US,AS;GE,perf,19
en_GB,AS;IL,foreground,28
en_GB,AS;ID,page_view,165
en_GB,AF;EG,background,126
en_AU,AS;AE,action,10
en_AU,AF;EG,page_view,73
de_DE,EU;IT,page_view,22
cs_CZ,EU;DK,background,2
bg_BG,EU;GB,foreground,1
ar_EG,AS;AE,start,3
ar_AE,AS;JO,action,64
zh_CN,EU;IE,background,1
sv_SE,EU;SE,background,461
sk_SK,EU;SK,timing,403
ru_RU,AS;IL,perf,11
pt_PT,EU;BE,action,16
pl_PL,EU;IE,session_end,10
pl_PL,EU;FR,foreground,3
nb_NO,EU;NO,page_view,449
lt_LT,EU;GB,action,30
lt_LT,EU;DE,timing,203
it_IT,EU;AL,session_end,2
hu_HU,EU;HU,background,102
hr_HR,EU;HR,timing,249
fr_FR,AF;MA,start,70
es_US,SA;VE,session_end,29
es_ES,NA;US,page_view,105
es_ES,NA;SV,background,18
es_ES,EU;RO,perf,4
es_ES,EU;GB,page_view,14
es_EC,SA;AR,page_view,16
es_AR,NA;CR,session_end,21
en_US,NA;US,in_app_currency_action,12990
en_US,EU;SE,perf,25
en_US,EU;GB,in_app_currency_action,83
en_US,EU;DE,foreground,14
en_US,EU;AT,action,679
en_US,AS;PH,in_app_currency_action,316
en_US,AF;NG,start,10
en_US,AF;MA,background,7
en_IN,AS;QA,start,3
en_GB,OC;AU,background,2
en_GB,EU;MK,perf,16
en_GB,EU;IS,page_view,4
en_GB,AS;TW,background,13
en_GB,AF;ZM,background,10
en_EN,AS;MY,timing,22
en_AU,OC;AU,page_view,641
de_DE,EU;CH,start,4
tr_TR,NA;US,page_view,12
tr_TR,AS;AE,foreground,9
th_TH,AS;TH,timing,3878
ru_RU,AS;AM,start,14
pl_PL,EU;FR,perf,2
pl_PL,EU;BE,in_app_currency_action,2
fr_FR,EU;LU,background,3
fr_CH,EU;LU,timing,87
es_US,NA;CR,action,1251
es_US,EU;ES,session_end,7
es_MX,NA;US,start,7
es_ES,NA;NI,page_view,7
es_ES,;;;;;,page_view,29
es_CO,NA;MX,timing,25
es_AR,SA;CL,perf,5
en_ZA,AS;PH,action,5
en_US,SA;EC,start,1
en_US,OC;PW,in_app_currency_action,7
en_US,NA;PR,action,445
en_US,NA;JM,start,10
en_US,EU;NO,timing,2
en_US,EU;DE,perf,68
en_US,EU;CH,session_end,11
en_US,AS;SG,background,100
en_US,AS;HK,timing,240
en_US,;;;;;,in_app_currency_action,7
en_GB,OC;AU,action,18
en_GB,EU;PT,session_end,3
en_GB,AS;MM,background,2
en_GB,AS;KW,foreground,83
en_GB,AS;JO,session_end,31
en_GB,AS;IR,background,1
zh_CN,AS;MY,timing,151
th_TH,NA;US,foreground,16
sv_SE,AS;TH,session_end,3
sk_SK,EU;GB,start,2
ru_RU,EU;FR,page_view,6
ru_RU,AS;KG,start,16
ro_RO,EU;DE,session_end,11
pl_PL,EU;PL,perf,789
ko_KR,EU;RU,in_app_currency_action,9
it_IT,OC;AU,session_end,2
it_IT,EU;DE,start,17
it_CH,EU;CH,page_view,4
fr_FR,AF;RE,background,10
es_US,SA;UY,page_view,33
es_US,NA;SV,foreground,20
es_PE,SA;PE,background,83
es_ES,EU;ES,perf,1227
en_US,SA;CL,start,2
en_US,NA;AW,page_view,39
en_US,EU;FI,perf,30
en_US,AS;KW,page_view,48
en_US,AS;JO,timing,524
en_US,AF;EG,in_app_currency_action,80
en_SG,AS;SG,timing,135
en_PK,AS;PK,session_end,2
en_ID,AS;ID,background,1
en_GB,EU;RO,timing,302
en_GB,EU;BE,action,8
en_GB,AS;TR,start,1
en_CA,NA;PR,start,2
en_CA,AS;VN,session_end,2
el_GR,NA;US,background,1
