"en_US,AS;KR;Kiryong-ni"
"en_US,AS;KR;Kaya"
"es_ES,NA;NI;Moroni"
"es_ES,NA;NI;Toegyewon"
"es_ES,NA;NI;Hasikchŏm-ni"
"en_GB,AS;CN;Suzhou"
"en_GB,AS;CN;Majie"
"en_GB,AS;CN;Xiazhen"
"en_GB,AS;KW;Al Quşūr"
"en_GB,AS;KW;Tall Suwayrah"
"en_GB,AS;KW;Al Fawāris"
"en_CA,AF;RW;Gishanvu District"
"en_CA,AF;RW;Ruhengeri Province"
"en_CA,AF;RW;Gitarama Province"
"en_GB,EU;SK;Trenčín"
"en_GB,EU;SK;Nevdol'sk"
"en_GB,EU;SK;Nikol'sk"
"pt_PT,AF;AO;Sankt Pölten Stadt"
"pt_PT,AF;AO;Ansfelden"
"pt_PT,AF;AO;Gleinkersee"
"ru_RU,EU;BY;Konchitsy"
"ru_RU,EU;BY;Biy"
"ru_RU,EU;BY;White Russia"
"es_PE,SA;PE;Sirinhaém"
"es_PE,SA;PE;Ko Lao Pe"
"es_PE,SA;PE;Pilis"
"tr_TR,EU;SI;Uijeongbu-si"
"tr_TR,EU;SI;Anyang-si"
"tr_TR,EU;SI;Ansan-si"
"en_US,AS;KH;Chong Krang"
"en_US,AS;KH;Phnŭm Krâchau"
"en_US,AS;KH;Kampong Speu"
"fr_FR,AF;RE;Lages"
"fr_FR,AF;RE;Gomsiqja e Re"
"fr_FR,AF;RE;Réunion"
"en_GB,AF;ZM;Sinempandi Island"
"en_GB,AF;ZM;Mzambara Island"
"en_GB,AF;ZM;Mbala"
"ru_RU,AS;KG;Sherif"
"ru_RU,AS;KG;Sheng-li Feng"
"ru_RU,AS;KG;Ulukent"
"en_GB,EU;BG;Zhdrapanitsa"
"en_GB,EU;BG;Lovech"
"en_GB,EU;BG;Vrŭkh Kutsolinitsa"
"vi_VN,AS;SG;Pulau Bajau"
"vi_VN,AS;SG;Pulau Jong"
"vi_VN,AS;SG;Rüthi (SG)"
"en_ZA,AF;ZA;Kūh-e Qal‘eh Zā"
"en_ZA,AF;ZA;Qacha’s Nek"
"en_ZA,AF;ZA;Leon"
"en_GB,AS;SA;Apia"
"en_GB,AS;SA;Bursa"
"en_GB,AS;SA;Zagreb"
"ar_EG,EU;SE;Örmsjön"
"ar_EG,EU;SE;Shira Se"
"ar_EG,EU;SE;Sillen"
"es_ES,NA;US;Chicago"
"es_ES,NA;US;Ulan Us"
"es_ES,NA;US;Phoenix"
"en_US,AS;BD;Barisal Airport"
"en_US,AS;BD;Chapāchupa"
"en_US,AS;BD;Charāmaddi"
"en_GB,AS;JO;Jō Yama"
"en_GB,AS;JO;Ar Ramtha"
"en_GB,AS;JO;Jordan"
"en_GB,AS;BH;Comuna Căbeşti"
"en_GB,AS;BH;Comuna Sâniob"
"en_GB,AS;BH;Comuna Viişoara"
"ru_RU,AS;AZ;Phoenix"
"ru_RU,AS;AZ;Az Zawr"
"ru_RU,AS;AZ;Az Zabībīyāt"
"en_GB,EU;BA;Ba Bể District"
"en_GB,EU;BA;Hòn Bà"
"en_GB,EU;BA;Bata"
"es_MX,NA;MX;Nogales"
"es_MX,NA;MX;Moscow"
"es_MX,NA;MX;Navojoa"
"ro_RO,EU;RO;Comuna Clejani"
"ro_RO,EU;RO;Harghita"
"ro_RO,EU;RO;Sfrederile"
"fr_FR,EU;BE;Amt Obersimmental"
"fr_FR,EU;BE;Rustavi"
"fr_FR,EU;BE;Amt Saanen"
"en_US,EU;RU;Astana"
"en_US,EU;RU;Sarh"
"en_US,EU;RU;Khulna"
"sr_RS,EU;RS;Cvetke"
"sr_RS,EU;RS;Subotica"
"sr_RS,EU;RS;Serbia"
